experiment,mse,mse_rank,mae,mae_rank,rmse,rmse_rank,train_time,time_rank,avg_rank
LoRA + High LR,0.5238,1.0,0.5513,2.0,0.7238,1.0,79.87,4.0,2.0
LoRA + GPT2-Medium,0.5294,2.0,0.5506,1.0,0.7276,2.0,79.02,3.0,2.0
LoRA + All Variants,0.541,4.0,0.5554,4.0,0.7355,4.0,42.89,1.0,3.25
LoRA Baseline (29.5%),0.5367,3.0,0.5523,3.0,0.7326,3.0,122.45,7.0,4.0
Frozen LLM (6.5%),0.5446,5.0,0.5586,6.0,0.738,5.0,82.9,5.0,5.25
Full Fine-Tuning (70%),0.5472,7.0,0.5577,5.0,0.7398,7.0,87.84,6.0,6.25
unknown,1.2264,9.0,0.607,8.0,1.1074,9.0,70.25,2.0,7.0
Early Baseline,0.5467,6.0,0.6009,7.0,0.7394,6.0,235.78,10.0,7.25
LoRA + Larger Patches,1.2177,8.0,0.6121,9.0,1.1035,8.0,152.82,8.0,8.25
LoRA + 12 Layers (46%),1.2603,10.0,0.6351,10.0,1.1226,10.0,162.55,9.0,9.75
