Dataset,Category,Method,MSE,MAE,RMSE
ETTh1,SOTA Baseline,TimeLLM,0.43046,0.450578,0.656095
ETTh1,SOTA Baseline,GPT4TS,0.469828,0.487014,0.68544
Electricity,SOTA Baseline,GPT4TS,0.159607,0.175505,0.399509
ETTh1,ULLM,ULLM-Baseline,0.531227,0.550281,0.728853
ETTh1,ULLM,ULLM-EXP1 (Full FT),0.537185,0.55229,0.732929
ETTh1,ULLM,ULLM-EXP2 (High LR),0.526823,0.549058,0.725826
ETTh1,ULLM,ULLM-EXP3 (Large Patch),0.53457,0.552053,0.731143
Electricity,ULLM,ULLM-Baseline,0.214062,0.247672,0.462668
Electricity,ULLM,ULLM-EXP1 (Full FT),0.207549,0.242607,0.455575
Electricity,ULLM,ULLM-EXP2 (High LR),0.209269,0.243457,0.45746
Electricity,ULLM,ULLM-EXP3 (Large Patch),0.205871,0.24137,0.45373
